iter	RMSE
0	10.04117173
1	10.02703501
2	10.01197788
3	9.993731261
4	9.980514185
5	9.972651525
6	9.962171872
7	9.954307534
8	9.940074957
9	9.929421173
10	9.91702242
11	9.903427272
12	9.891900969
13	9.877401008
14	9.861229459
15	9.850318117
16	9.840506605
17	9.830911899
18	9.824291643
19	9.812911305
20	9.806745324
21	9.800564531
22	9.788205852
23	9.773936457
24	9.767839928
25	9.759286661
26	9.752828292
27	9.742008182
28	9.730047983
29	9.720491521
30	9.711715857
31	9.701830967
32	9.69336927
33	9.6820977
34	9.674830705
35	9.668469668
36	9.658266621
37	9.649394621
38	9.642563622
39	9.629058009
40	9.621320893
41	9.615344531
42	9.605667366
43	9.596042465
44	9.590438259
45	9.576357035
46	9.567579887
47	9.559887124
48	9.549339817
49	9.546404216
50	9.537735707
51	9.529986746
52	9.524707424
53	9.5164113
54	9.510234699
55	9.497523244
56	9.489698122
57	9.47689762
58	9.474569383
59	9.468715067
60	9.460439227
61	9.451398755
62	9.444873052
63	9.439335526
64	9.432396802
65	9.427323142
66	9.423541117
67	9.415382811
68	9.409373491
69	9.401516644
70	9.395288992
71	9.392124485
72	9.386321744
73	9.37753858
74	9.370803099
75	9.368510244
76	9.36563872
77	9.358485754
78	9.352825201
79	9.346879418
80	9.34324762
81	9.337526218
82	9.331190264
83	9.321493577
84	9.318254945
85	9.311733477
86	9.306371787
87	9.302983597
88	9.29488794
89	9.291068406
90	9.285729785
91	9.279595608
92	9.274871125
93	9.271619949
94	9.266658716
95	9.263112165
96	9.258909542
97	9.253122963
98	9.248356197
99	9.243007233
100	9.237366474
101	9.233078297
102	9.228511911
103	9.22216733
104	9.216325571
105	9.211234878
106	9.205277892
107	9.200379697
108	9.197208468
109	9.190748858
110	9.184475345
111	9.176962905
112	9.17216951
113	9.166251244
114	9.161689485
115	9.156404663
116	9.152422806
117	9.147039146
118	9.139872039
119	9.134375844
120	9.128103705
121	9.123175097
122	9.118726309
123	9.113677741
124	9.108386939
125	9.102626658
126	9.097849058
127	9.093029991
128	9.088498501
129	9.083206875
130	9.079867184
131	9.076332587
132	9.071310092
133	9.066924001
134	9.062164609
135	9.057722646
136	9.051987618
137	9.04065336
138	9.036491666
139	9.031721045
140	9.028218372
141	9.021956241
142	9.018751196
143	9.011632959
144	9.004714705
145	8.999785579
146	8.995922874
147	8.990552853
148	8.985771418
149	8.981714309
150	8.976822772
151	8.974532484
152	8.970582772
153	8.967672838
154	8.96072671
155	8.955945246
156	8.952645928
157	8.945763022
158	8.939350019
159	8.936574315
160	8.929793821
161	8.926680173
162	8.922954469
163	8.915783026
164	8.90940673
165	8.903327999
166	8.896566942
167	8.892910021
168	8.888172469
169	8.885613857
170	8.882140901
171	8.875703439
172	8.870345647
173	8.865027444
174	8.858353607
175	8.850319942
176	8.846857901
177	8.841982616
178	8.835978363
179	8.832654227
180	8.825147854
181	8.820504604
182	8.814194286
183	8.808065673
184	8.803172631
185	8.79735283
186	8.792801043
187	8.788047608
188	8.782110752
189	8.777774813
190	8.774262468
191	8.768966276
192	8.765329859
193	8.761429048
194	8.760660438
195	8.755490487
196	8.752132111
197	8.745304677
198	8.740327415
199	8.737649887
200	8.732417818
201	8.728568564
202	8.724471507
203	8.722099182
204	8.718214224
205	8.712491672
206	8.711313625
207	8.707354732
208	8.704294698
209	8.699183619
210	8.695059948
211	8.691168712
212	8.689119787
213	8.686287563
214	8.68287128
215	8.675174268
216	8.671377436
217	8.669490407
218	8.665977011
219	8.662595618
220	8.65902203
221	8.657801261
222	8.65469704
223	8.652709654
224	8.649526957
225	8.646673943
226	8.641626893
227	8.637406159
228	8.63427101
229	8.631577821
230	8.630434388
231	8.628755822
232	8.625074401
233	8.621546491
234	8.61906435
235	8.614950751
236	8.612150797
237	8.608481002
238	8.604985702
239	8.600861003
240	8.599785459
241	8.593933387
242	8.590857767
243	8.588845952
244	8.587283148
245	8.584389335
246	8.579887446
247	8.570890608
248	8.566130867
249	8.561807264
250	8.559237967
251	8.551047391
252	8.548014599
253	8.546458891
254	8.544911086
255	8.541325997
256	8.53770012
257	8.534375764
258	8.532596796
259	8.530071696
260	8.526081045
261	8.524320387
262	8.522631503
263	8.517053742
264	8.513805211
265	8.510906586
266	8.508009542
267	8.507122494
268	8.50221118
269	8.500591732
270	8.498173961
271	8.493152515
272	8.490905627
273	8.486820541
274	8.482490057
275	8.479847893
276	8.474380918
277	8.471792159
278	8.466387137
279	8.463352677
280	8.461874298
281	8.459112398
282	8.453465332
283	8.447284866
284	8.445228484
285	8.444220196
286	8.441373867
287	8.435294318
288	8.432165327
289	8.429179405
290	8.425614789
291	8.423831542
292	8.422544348
293	8.417808022
294	8.412567365
295	8.409592911
296	8.404643535
297	8.401994611
298	8.399410357
299	8.397688068
300	8.395263093
301	8.390905498
302	8.38585425
303	8.383237217
304	8.381125482
305	8.375918638
306	8.374512933
307	8.371417977
308	8.364884097
309	8.363121011
310	8.359977965
311	8.35114367
312	8.345971376
313	8.338450395
314	8.334665088
315	8.332621785
316	8.329990764
317	8.323322689
318	8.321003103
319	8.31807699
320	8.313707029
321	8.310327008
322	8.304350064
323	8.298963533
324	8.29430005
325	8.289341655
326	8.285261326
327	8.280173786
328	8.277319731
329	8.274692201
330	8.269190582
331	8.264337446
332	8.263201427
333	8.256155609
334	8.254987433
335	8.246111037
336	8.241998956
337	8.237499856
338	8.232978896
339	8.229913672
340	8.228316303
341	8.222837166
342	8.217260921
343	8.211776952
344	8.207899621
345	8.205990685
346	8.202046948
347	8.197788205
348	8.192483995
349	8.189166052
350	8.184719906
351	8.180261031
352	8.176794214
353	8.174046304
354	8.16996874
355	8.165698987
356	8.162083335
357	8.161169492
358	8.158202802
359	8.154493983
360	8.15330185
361	8.14861704
362	8.141692547
363	8.137085263
364	8.13464647
365	8.130695896
366	8.128674194
367	8.126325962
368	8.121895561
369	8.120076983
370	8.11894662
371	8.114725821
372	8.110662902
373	8.110011276
374	8.106669687
375	8.10317515
376	8.101914077
377	8.099374624
378	8.094240798
379	8.09079554
380	8.086498585
381	8.0838463
382	8.082426849
383	8.078128936
384	8.073984226
385	8.069240713
386	8.064487599
387	8.062376577
388	8.0584097
389	8.052869787
390	8.049498849
391	8.045348942
392	8.041716032
393	8.036908461
394	8.034508627
395	8.030797293
396	8.025597567
397	8.02407755
398	8.017561214
399	8.01418215
400	8.012262644
401	8.00850502
402	8.005619626
403	8.00387772
404	8.000161778
405	7.993946911
406	7.991393133
407	7.986730655
408	7.984461889
409	7.983264683
410	7.979814852
411	7.975782378
412	7.971652052
413	7.967640819
414	7.963695275
415	7.961052563
416	7.959898079
417	7.957080308
418	7.952611208
419	7.950810242
420	7.947791495
421	7.946411553
422	7.942895383
423	7.94125841
424	7.940069131
425	7.934072967
426	7.931786506
427	7.929243653
428	7.927251836
429	7.923558181
430	7.920223669
431	7.918224754
432	7.915938005
433	7.913266401
434	7.909454098
435	7.906976799
436	7.905327113
437	7.903080317
438	7.899100925
439	7.896457273
440	7.894828204
441	7.893468198
442	7.891893788
443	7.888617511
444	7.887024768
445	7.884371281
446	7.882268991
447	7.880953889
448	7.877575273
449	7.874397296
450	7.869949243
451	7.865045248
452	7.862537024
453	7.860506389
454	7.857053905
455	7.85331167
456	7.850271444
457	7.843701527
458	7.841695695
459	7.837212992
460	7.833052404
461	7.82899336
462	7.827271366
463	7.825351757
464	7.821758305
465	7.817310322
466	7.813537381
467	7.809583681
468	7.805970839
469	7.80274287
470	7.799635836
471	7.796820918
472	7.795301844
473	7.787907562
474	7.784318109
475	7.781225212
476	7.777734238
477	7.775599734
478	7.771537345
479	7.768315533
480	7.763562588
481	7.759889386
482	7.753232084
483	7.749321608
484	7.745210584
485	7.743029353
486	7.741454905
487	7.736577489
488	7.734062371
489	7.731707609
490	7.72797409
491	7.727057306
492	7.721634263
493	7.72002052
494	7.717446668
495	7.715429024
496	7.712754102
497	7.708082688
498	7.704323746
499	7.701597278
500	7.7010275
501	7.696949778
502	7.694630763
503	7.690725496
504	7.68670651
505	7.683504114
506	7.680021577
507	7.674168333
508	7.671766145
509	7.668233785
510	7.665026472
511	7.658712784
512	7.655181011
513	7.652758454
514	7.651747419
515	7.64734777
516	7.644648762
517	7.643799803
518	7.640951314
519	7.6372718
520	7.632968747
521	7.630463892
522	7.626674279
523	7.622382486
524	7.617023336
525	7.612211652
526	7.609634316
527	7.604176068
528	7.600789835
529	7.598771884
530	7.596278568
531	7.591580113
532	7.585661597
533	7.582714875
534	7.580994188
535	7.578107902
536	7.576475962
537	7.573829013
538	7.568672608
539	7.564202714
540	7.561239296
541	7.557575599
542	7.556582224
543	7.554775561
544	7.551351972
545	7.547734396
546	7.544993156
547	7.540136176
548	7.538423515
549	7.536709946
550	7.534410935
551	7.531368237
552	7.528498304
553	7.52775106
554	7.525108058
555	7.521165155
556	7.517447123
557	7.51246098
558	7.510288523
559	7.509167652
560	7.507351249
561	7.504912656
562	7.501527093
563	7.499725382
564	7.495408819
565	7.494408635
566	7.492673728
567	7.488753453
568	7.486225536
569	7.485500631
570	7.483254621
571	7.482339924
572	7.480001299
573	7.479321123
574	7.477128087
575	7.47520597
576	7.472945638
577	7.467890656
578	7.465817675
579	7.465064751
580	7.460230308
581	7.458157527
582	7.455803184
583	7.45092486
584	7.447459648
585	7.444738259
586	7.442396444
587	7.439391215
588	7.437007667
589	7.436305565
590	7.433108263
591	7.430298593
592	7.426411777
593	7.424102389
594	7.420493485
595	7.417734288
596	7.415003412
597	7.410301573
598	7.406502688
599	7.405536132
600	7.405048303
601	7.401920168
602	7.397461772
603	7.394050233
604	7.391936118
605	7.390172979
606	7.385763889
607	7.381694907
608	7.377308617
609	7.373245168
610	7.369101575
611	7.367991223
612	7.364643768
613	7.364018008
614	7.362890685
615	7.359000972
616	7.356366149
617	7.355664511
618	7.352884644
619	7.348771331
620	7.346340177
621	7.342154806
622	7.341331999
623	7.336446231
624	7.333703073
625	7.330009238
626	7.324421811
627	7.32201939
628	7.318801106
629	7.314096805
630	7.310460216
631	7.308129346
632	7.305813565
633	7.303136791
634	7.300150538
635	7.299557027
636	7.294782132
637	7.294043824
638	7.292738221
639	7.290588607
640	7.286808642
641	7.285177221
642	7.283387528
643	7.28197472
644	7.27907317
645	7.274982202
646	7.273291413
647	7.271702054
648	7.26731893
649	7.264996443
650	7.260996512
651	7.259455069
652	7.255877423
653	7.253467271
654	7.250600929
655	7.24877842
656	7.24666463
657	7.244926723
658	7.242367106
659	7.240834927
660	7.238419302
661	7.23714736
662	7.236132794
663	7.235174405
664	7.232712533
665	7.231507309
666	7.229417183
667	7.226359536
668	7.223286297
669	7.218589618
670	7.21810109
671	7.216893726
672	7.213871563
673	7.210238345
674	7.206487972
675	7.205813564
676	7.203799137
677	7.200979028
678	7.196924837
679	7.194501091
680	7.19246127
681	7.191735655
682	7.188966179
683	7.185780935
684	7.183171243
685	7.179768211
686	7.173917643
687	7.170682692
688	7.167043718
689	7.163099627
690	7.159421678
691	7.15672063
692	7.152025119
693	7.15020191
694	7.147468998
695	7.145047343
696	7.144159318
697	7.141218996
698	7.140896141
699	7.137993038
700	7.135614551
701	7.133968623
702	7.131485826
703	7.13070486
704	7.127505482
705	7.124112344
706	7.121675215
707	7.119553283
708	7.117724078
709	7.114324813
710	7.113565245
711	7.109429951
712	7.106541466
713	7.102249267
714	7.099525199
715	7.097344911
716	7.094623491
717	7.090810152
718	7.08758266
719	7.085589678
720	7.083368707
721	7.079681062
722	7.074619572
723	7.071881166
724	7.07089021
725	7.069525065
726	7.066592035
727	7.065595492
728	7.065232006
729	7.062205334
730	7.059890277
731	7.054978969
732	7.054325348
733	7.052466701
734	7.051374588
735	7.04849407
736	7.046497042
737	7.045177294
738	7.042908336
739	7.040953549
740	7.040435603
741	7.037410639
742	7.034813815
743	7.032871759
744	7.029544336
745	7.02788642
746	7.024260639
747	7.021503893
748	7.020016079
749	7.016993427
750	7.012850187
751	7.011121633
752	7.008922912
753	7.005775512
754	7.004152793
755	7.002927194
756	7.001076048
757	6.999587215
758	6.996797809
759	6.995076803
760	6.99314322
761	6.992330983
762	6.989090222
763	6.986499241
764	6.983086319
765	6.981618477
766	6.97779607
767	6.976317645
768	6.974871526
769	6.974039173
770	6.971438159
771	6.968457754
772	6.96491683
773	6.962373668
774	6.961014233
775	6.959557058
776	6.957763142
777	6.956156524
778	6.95299333
779	6.949009102
780	6.946529586
781	6.943992343
782	6.942686189
783	6.939749171
784	6.935981188
785	6.934312453
786	6.931099868
787	6.929251861
788	6.927144176
789	6.925804786
790	6.923337264
791	6.921780892
792	6.92104408
793	6.919314635
794	6.91669898
795	6.916036678
796	6.913362597
797	6.911905147
798	6.909782878
799	6.907556307
800	6.905394691
801	6.902735617
802	6.901449093
803	6.900560855
804	6.898230116
805	6.896693096
806	6.895196835
807	6.893017921
808	6.889934536
809	6.888181252
810	6.885315634
811	6.882801369
812	6.881337369
813	6.879005366
814	6.877052203
815	6.875255982
816	6.874019657
817	6.871888933
818	6.871103772
819	6.868620802
820	6.865305247
821	6.86347678
822	6.861128614
823	6.859926334
824	6.857423554
825	6.854636691
826	6.853379801
827	6.852423878
828	6.851723275
829	6.849495386
830	6.846900925
831	6.846135254
832	6.844713559
833	6.843395154
834	6.842903259
835	6.842501687
836	6.841246591
837	6.839888903
838	6.838026685
839	6.835489069
840	6.833854821
841	6.831299546
842	6.829562217
843	6.82706075
844	6.82445545
845	6.82290816
846	6.821297931
847	6.820743016
848	6.820081714
849	6.818893993
850	6.816961116
851	6.814299798
852	6.810232639
853	6.807069828
854	6.804293863
855	6.803654978
856	6.801519505
857	6.800011929
858	6.799000495
859	6.795681653
