iter	Passed	Remaining
0	2	2220
1	4	2031
2	5	1901
3	7	1836
4	9	1852
5	11	1824
6	12	1804
7	14	1822
8	16	1823
9	18	1803
10	19	1789
11	21	1785
12	23	1780
13	25	1769
14	26	1754
15	28	1762
16	30	1759
17	32	1753
18	33	1750
19	35	1756
20	37	1746
21	39	1735
22	40	1736
23	42	1734
24	44	1726
25	45	1715
26	47	1714
27	49	1708
28	50	1701
29	52	1691
30	54	1695
31	55	1688
32	57	1682
33	59	1681
34	61	1683
35	62	1678
36	64	1672
37	65	1667
38	67	1670
39	69	1666
40	70	1660
41	72	1655
42	74	1660
43	76	1655
44	77	1650
45	79	1646
46	81	1646
47	82	1642
48	84	1637
49	86	1638
50	88	1638
51	89	1639
52	91	1639
53	93	1640
54	95	1636
55	96	1633
56	98	1633
57	100	1634
58	102	1634
59	104	1630
60	106	1632
61	107	1629
62	109	1625
63	110	1622
64	112	1623
65	114	1620
66	116	1622
67	118	1623
68	120	1624
69	122	1621
70	123	1617
71	125	1618
72	127	1621
73	129	1619
74	131	1626
75	133	1624
76	135	1620
77	137	1619
78	139	1620
79	140	1617
80	142	1614
81	144	1620
82	146	1621
83	148	1620
84	150	1620
85	152	1619
86	154	1617
87	155	1614
88	157	1616
89	159	1615
90	161	1613
91	163	1614
92	165	1612
93	167	1609
94	169	1610
95	171	1610
96	173	1611
97	175	1611
98	177	1612
99	178	1610
100	180	1608
101	183	1614
102	185	1613
103	187	1611
104	189	1612
105	190	1610
106	192	1608
107	195	1612
108	197	1610
109	198	1608
110	201	1613
111	203	1612
112	205	1610
113	207	1609
114	208	1608
115	210	1605
116	212	1602
117	214	1600
118	216	1599
119	217	1597
120	219	1593
121	221	1592
122	223	1590
123	224	1587
124	226	1584
125	228	1583
126	229	1580
127	231	1579
128	233	1578
129	235	1576
130	237	1573
131	238	1570
132	240	1569
133	242	1567
134	244	1564
135	245	1561
136	247	1561
137	249	1558
138	251	1555
139	252	1552
140	254	1551
141	256	1549
142	258	1546
143	260	1546
144	262	1544
145	263	1544
146	266	1545
147	268	1544
148	269	1541
149	271	1538
150	273	1537
151	275	1536
152	277	1534
153	278	1532
154	280	1530
155	282	1527
156	283	1524
157	285	1523
158	287	1521
159	289	1518
160	290	1515
161	292	1514
162	294	1511
163	296	1508
164	297	1506
165	299	1504
166	301	1501
167	302	1499
168	304	1497
169	306	1496
170	308	1494
171	309	1491
172	311	1490
173	313	1488
174	315	1485
175	316	1483
176	318	1481
177	320	1480
178	322	1478
179	324	1476
180	325	1474
181	327	1472
182	329	1470
183	331	1468
184	332	1466
185	334	1464
186	336	1462
187	338	1460
188	339	1458
189	341	1456
190	343	1454
191	345	1452
192	346	1450
193	348	1447
194	350	1446
195	352	1445
196	354	1443
197	355	1440
198	357	1439
199	359	1437
200	360	1434
201	362	1433
202	364	1432
203	366	1430
204	368	1428
205	370	1428
206	372	1425
207	373	1423
208	375	1420
209	377	1419
210	378	1417
211	380	1414
212	382	1412
213	384	1410
214	385	1408
215	387	1405
216	389	1404
217	390	1402
218	392	1399
219	394	1397
220	396	1396
221	397	1393
222	399	1391
223	400	1388
224	402	1387
225	404	1385
226	406	1382
227	407	1380
228	409	1379
229	411	1376
230	412	1374
231	414	1373
232	416	1371
233	418	1369
234	419	1366
235	421	1365
236	423	1364
237	425	1361
238	427	1359
239	429	1358
240	430	1356
241	432	1353
242	433	1351
243	435	1349
244	437	1347
245	438	1345
246	440	1343
247	442	1342
248	444	1339
249	445	1337
250	447	1335
251	449	1333
252	450	1331
253	452	1329
254	454	1327
255	456	1325
256	457	1323
257	459	1321
258	461	1319
259	462	1317
260	464	1315
261	466	1312
262	468	1311
263	469	1309
264	471	1307
265	473	1306
266	475	1304
267	476	1302
268	478	1300
269	480	1298
270	481	1296
271	483	1294
272	485	1292
273	487	1291
274	488	1288
275	490	1286
276	492	1285
277	494	1283
278	496	1282
279	497	1280
280	499	1278
281	501	1276
282	503	1274
283	504	1272
284	506	1271
285	508	1269
286	510	1267
287	512	1265
288	513	1263
289	515	1261
290	517	1259
291	518	1257
292	520	1255
293	522	1253
294	523	1251
295	525	1250
296	527	1249
297	529	1246
298	531	1245
299	532	1243
300	534	1241
301	536	1239
302	538	1238
303	540	1236
304	541	1234
305	543	1232
306	545	1231
307	547	1229
308	548	1227
309	550	1225
310	552	1223
311	553	1221
312	555	1219
313	557	1218
314	559	1216
315	560	1214
316	562	1212
317	564	1210
318	566	1208
319	568	1207
320	570	1206
321	572	1205
322	574	1203
323	576	1201
324	578	1200
325	579	1198
326	581	1196
327	583	1195
328	585	1193
329	586	1191
330	588	1189
331	590	1187
332	591	1185
333	593	1183
334	594	1180
335	597	1179
336	598	1178
337	600	1176
338	602	1175
339	604	1173
340	606	1171
341	607	1169
342	609	1167
343	611	1165
344	613	1163
345	614	1161
346	616	1160
347	618	1158
348	619	1156
349	621	1154
350	623	1153
351	625	1151
352	626	1149
353	629	1147
354	630	1146
355	632	1144
356	634	1142
357	635	1140
358	637	1138
359	639	1136
360	641	1134
361	642	1133
362	644	1131
363	646	1129
364	648	1127
365	649	1125
366	651	1123
367	653	1121
368	655	1120
369	656	1118
370	658	1116
371	660	1114
