Temperature (°C),Rainfall (mm),Humidity (%),Soil Type,Weather Condition,Crop Type,Yield (tons/hectare)
22.49080237694725,185.13292883861965,53.0852841867953,Sandy,Sunny,Barley,2.8189366766656745
34.01428612819832,541.9009473783582,52.348939953599995,Loamy,Sunny,Corn,8.014166301463824
29.6398788362281,872.9458358764083,85.31272902605184,Peaty,Rainy,Wheat,9.24986815548111
26.973169683940732,732.2248864095612,52.477309992475305,Sandy,Sunny,Soybeans,7.947481391649555
18.12037280884873,806.5611478614497,53.59748630643155,Clay,Stormy,Barley,6.262616299211154
18.119890406724053,658.7833667107174,77.96991312089818,Sandy,Rainy,Soybeans,8.885342574311082
16.161672243363988,692.2765645178524,62.486992122527,Sandy,Sunny,Wheat,7.55934703825206
32.3235229154987,849.1956515653193,78.83552784775907,Clay,Rainy,Corn,2.084408979601519
27.022300234864176,249.66800885918593,43.26830787821926,Silty,Cloudy,Soybeans,5.152721222196025
29.16145155592091,489.4249636431405,64.37855968366921,Silty,Rainy,Rice,8.8076151952544
15.411689885916049,221.20944181960223,41.680680009164135,Loamy,Rainy,Barley,4.766870863802154
34.39819704323989,987.668007996647,43.13266017276773,Loamy,Cloudy,Soybeans,2.281721388204188
31.648852816008436,944.0593396866133,85.32187266722055,Silty,Stormy,Barley,7.9694371084181785
19.246782213565524,39.426811368505895,46.96226855587976,Peaty,Sunny,Rice,8.416306162262948
18.636499344142013,705.5751725156885,66.62103411376086,Sandy,Cloudy,Corn,3.2847495603464685
18.668090197068675,925.2483174156658,60.554780130035326,Peaty,Rainy,Corn,6.2987239747454495
21.084844859190753,180.57534512733352,57.36716631294213,Sandy,Sunny,Rice,3.535643511965806
25.495128632644757,567.9452305526295,84.99166728436361,Silty,Cloudy,Barley,7.753875352353174
23.638900372842315,915.4882975880419,41.091169838774476,Loamy,Sunny,Soybeans,4.172403641419885
20.824582803960837,33.94597858579884,73.18948430877946,Loamy,Sunny,Rice,4.5297209805066405
27.237057894447588,697.4202672468399,88.16972171067752,Peaty,Cloudy,Wheat,8.75976682912081
17.789877213040835,297.3490073725508,68.0084091730921,Loamy,Sunny,Barley,5.810578817655235
20.842892970704362,924.3961953765304,86.84112310165459,Silty,Stormy,Corn,7.358035609745983
22.327236865873836,971.0582451653678,42.612893964301186,Peaty,Cloudy,Rice,5.218984405779741
24.12139968434072,944.2664891134339,60.93966595370807,Sandy,Stormy,Corn,4.384054857550043
30.703519227860273,474.2142166574638,53.007889548102554,Loamy,Rainy,Barley,7.003824483397291
18.993475643167194,862.0426509893134,76.54104824903649,Clay,Sunny,Corn,3.2388605926305702
25.284688768272233,844.5493985350704,89.06485452486234,Loamy,Rainy,Rice,4.983998684534904
26.848291377240848,319.10047324325564,52.82650312221239,Sandy,Rainy,Barley,3.672296299087378
15.929008254399955,828.9154741506774,72.70873007370372,Peaty,Sunny,Wheat,7.566359735525964
27.150897038028766,37.00763471549262,49.904881637987,Sandy,Cloudy,Rice,9.55367070676886
18.41048247374583,596.2698784820531,68.2665127285805,Clay,Sunny,Soybeans,9.964087744126932
16.30103185970559,230.00883728770305,63.19662433441681,Silty,Rainy,Rice,5.602214483532726
33.977710745066666,120.56688577727881,88.60026648157685,Loamy,Rainy,Barley,4.020243117091556
34.31264066149119,76.95320162920916,70.42636363482333,Peaty,Cloudy,Rice,5.542634963074593
31.16794696232922,696.2887758781397,57.47531860434094,Silty,Sunny,Wheat,8.77815527970179
21.092275383467413,339.87496376806615,45.704789244396665,Sandy,Rainy,Wheat,3.648045428416319
16.95344228012768,724.7667715287614,47.56234143674673,Peaty,Stormy,Soybeans,9.61676521322339
28.684660530243136,65.35634079894237,51.26584649756175,Silty,Rainy,Corn,4.734926150385208
